Zip,LatLong,Population
10162,"40.769298, -73.949942","1,726"
10028,"40.776865, -73.954721","44,987"
10128,"40.781656, -73.950281","59,856"
10031,"40.825857, -73.949451","60,221"
10009,"40.726622, -73.978955","58,595"
10032,"40.839194, -73.942591","63,842"
11372,"40.751706, -73.883561","71,308"
10016,"40.744983, -73.978262","51,217"
10003,"40.731856, -73.989145","53,673"
10002,"40.715952, -73.985870","84,870"
10026,"40.802320, -73.952943","30,377"
10023,"40.775394, -73.982197","62,206"
10025,"40.797958, -73.964917","97,086"
10453,"40.852779, -73.912332","76,775"
10030,"40.818492, -73.943283","25,847"
10021,"40.769742, -73.961653","102,078"
11226,"40.646430, -73.956866","106,154"
10029,"40.792245, -73.945230","75,390"
10012,"40.725639, -73.998090","26,000"
10033,"40.849124, -73.935956","58,259"
10040,"40.858134, -73.929031","46,599"
11104,"40.744515, -73.920457","29,506"
10452,"40.837763, -73.923314","72,138"
10011,"40.741844, -74.000711","46,669"
10039,"40.826296, -73.937053","21,737"
10456,"40.830877, -73.907954","76,656"
10010,"40.739122, -73.982363","26,408"
10468,"40.868093, -73.899730","78,309"
10022,"40.758615, -73.967752","30,642"
10037,"40.813159, -73.937352","16,984"
10458,"40.862831, -73.886395","77,840"
11103,"40.762634, -73.913156","44,321"
11213,"40.671034, -73.936357","65,440"
11373,"40.737347, -73.878716","105,723"
10457,"40.846687, -73.898374","69,048"
10024,"40.786307, -73.970694","61,414"
10014,"40.733471, -74.007098","32,667"
11216,"40.680854, -73.949144","55,775"
11219,"40.632769, -73.996642","85,987"
10472,"40.829650, -73.869368","64,867"
11212,"40.662907, -73.912969","85,161"
11221,"40.691310, -73.927772","76,363"
10038,"40.709336, -74.002943","15,574"
10027,"40.811407, -73.953564","56,168"
11220,"40.641307, -74.016251","92,718"
11218,"40.643783, -73.975954","74,611"
10455,"40.814678, -73.908333","37,465"
11106,"40.762211, -73.931528","43,130"
10017,"40.752292, -73.972393","16,201"
10462,"40.842823, -73.858861","72,077"
11206,"40.702037, -73.942444","69,032"
11237,"40.704160, -73.921139","48,910"
11374,"40.726219, -73.861264","44,189"
10019,"40.766331, -73.985013","36,012"
11230,"40.622104, -73.965118","88,933"
10034,"40.869208, -73.921929","41,756"
11204,"40.618675, -73.984893","74,880"
10459,"40.825558, -73.893156","39,080"
11217,"40.682306, -73.978099","35,353"
11233,"40.678089, -73.919867","61,955"
10013,"40.720067, -74.004829","25,042"
11211,"40.713507, -73.952578","85,089"
11225,"40.662236, -73.958951","63,774"
11102,"40.772884, -73.926295","36,291"
10280,"40.708501, -74.016828","6,614"
11419,"40.688685, -73.822882","48,867"
11238,"40.678424, -73.963874","48,965"
11355,"40.750123, -73.820977","83,281"
10044,"40.762050, -73.949933","9,520"
10451,"40.822092, -73.922612","40,961"
11368,"40.749407, -73.852780","98,841"
11210,"40.628049, -73.946278","62,308"
11203,"40.649411, -73.934397","84,498"
10463,"40.880678, -73.906540","65,576"
11214,"40.598668, -73.996212","83,546"
11223,"40.597427, -73.973039","77,691"
11229,"40.601293, -73.944493","80,554"
10036,"40.759614, -73.991148","18,751"
11415,"40.708229, -73.827867","20,956"
11435,"40.701408, -73.809817","53,877"
11224,"40.577257, -73.989762","51,205"
11416,"40.684614, -73.849509","23,668"
11377,"40.744813, -73.905122","88,339"
10454,"40.805528, -73.916632","34,976"
10466,"40.891039, -73.847226","68,787"
10467,"40.877420, -73.872597","94,342"
11201,"40.693682, -73.989693","47,746"
10460,"40.842724, -73.879745","53,707"
11369,"40.763513, -73.871961","36,110"
11207,"40.670361, -73.893848","86,551"
11209,"40.622352, -74.030431","69,840"
11421,"40.693633, -73.858513","37,664"
11235,"40.583552, -73.947900","77,451"
11370,"40.765370, -73.893132","43,142"
11215,"40.662688, -73.986740","63,001"
11236,"40.639761, -73.900640","96,301"
11228,"40.616863, -74.013196","41,172"
10475,"40.875266, -73.826037","38,086"
11205,"40.696771, -73.967061","35,622"
11375,"40.722975, -73.843179","70,204"
11385,"40.700671, -73.889433","97,524"
10473,"40.817685, -73.858576","56,166"
10001,"40.750722, -73.997276","17,310"
11432,"40.715220, -73.793188","57,045"
11417,"40.676342, -73.844595","28,607"
11105,"40.778997, -73.906847","42,117"
11428,"40.721050, -73.742212","21,023"
11208,"40.669598, -73.871270","87,165"
11354,"40.768208, -73.827403","54,329"
10469,"40.867849, -73.845140","63,345"
10035,"40.795487, -73.929501","32,702"
11231,"40.677916, -74.005154","32,974"
11418,"40.700101, -73.835908","36,571"
10282,"40.717017, -74.015566","1,574"
10461,"40.847409, -73.841403","49,808"
11222,"40.728367, -73.945427","39,360"
11436,"40.675266, -73.796570","18,148"
11420,"40.673525, -73.817771","45,498"
10006,"40.707970, -74.013610","1,447"
11232,"40.655827, -74.006829","27,723"
11429,"40.709681, -73.738399","27,647"
11367,"40.730621, -73.822860","38,216"
10069,"40.775551, -73.989689","1,403"
11239,"40.644728, -73.879186","14,620"
11434,"40.676808, -73.776425","59,142"
11412,"40.696878, -73.760260","37,452"
11358,"40.760467, -73.796418","38,647"
11423,"40.717252, -73.768879","31,240"
10007,"40.713973, -74.008336","3,522"
10550,"40.905448, -73.835253","38,284"
10470,"40.900965, -73.863998","15,780"
11366,"40.727929, -73.793074","13,366"
11433,"40.698135, -73.787009","28,435"
11411,"40.694307, -73.735948","21,282"
11365,"40.738856, -73.792528","41,566"
10705,"40.919705, -73.889928","38,115"
11427,"40.729722, -73.749800","23,014"
11379,"40.715488, -73.879490","28,984"
11361,"40.764370, -73.771869","29,206"
11692,"40.593163, -73.793803","15,893"
10701,"40.945250, -73.881145","63,715"
10553,"40.908502, -73.821554","10,102"
11004,"40.745809, -73.711240","14,682"
10018,"40.754969, -73.992126","4,255"
10308,"40.551236, -74.150961","26,451"
11357,"40.786415, -73.810924","39,491"
11550,"40.702731, -73.623226","59,022"
10703,"40.957236, -73.881126","20,410"
10302,"40.630820, -74.137841","16,406"
11378,"40.724744, -73.909639","34,053"
11356,"40.784810, -73.841165","20,444"
11691,"40.600774, -73.757824","56,184"
11413,"40.669293, -73.750553","39,827"
10310,"40.632516, -74.116461","22,852"
11694,"40.576906, -73.846381","19,278"
14201,"42.896227, -78.886477","13,609"
11364,"40.745620, -73.757537","34,539"
11414,"40.658217, -73.844820","28,121"
11360,"40.782352, -73.780749","19,350"
11005,"40.756578, -73.714178","2,195"
11003,"40.699176, -73.706166","40,507"
10005,"40.705390, -74.008988",884
14222,"42.919236, -78.877343","14,365"
11426,"40.736619, -73.723610","18,727"
10552,"40.924460, -73.826115","19,948"
14213,"42.918183, -78.892479","26,080"
12210,"42.657569, -73.757660","9,492"
14208,"42.914225, -78.851150","13,207"
10465,"40.826285, -73.822762","42,500"
10805,"40.897721, -73.779258","17,957"
11561,"40.589061, -73.651049","39,582"
10304,"40.603589, -74.102477","38,972"
10704,"40.919729, -73.862651","29,158"
10801,"40.917570, -73.784858","36,322"
14619,"43.136082, -77.648985","14,754"
10301,"40.627456, -74.094407","38,805"
10606,"41.020949, -73.775986","15,733"
14621,"43.186402, -77.601255","35,977"
11563,"40.657306, -73.674147","23,231"
11010,"40.700778, -73.675686","24,778"
14215,"42.934353, -78.809741","44,484"
11501,"40.746062, -73.639285","19,111"
11580,"40.674900, -73.702154","37,759"
14607,"43.150826, -77.586219","16,297"
12307,"42.806322, -73.934477","6,843"
11001,"40.721416, -73.707982","25,511"
11101,"40.746970, -73.937530","25,595"
14613,"43.182283, -77.639548","15,078"
10305,"40.596691, -74.074866","38,450"
13203,"43.061009, -76.134973","15,435"
11234,"40.612540, -73.894255","86,898"
11575,"40.679763, -73.584023","15,975"
11520,"40.650851, -73.584575","44,026"
11362,"40.758401, -73.733420","17,502"
14216,"42.949615, -78.861119","23,587"
14217,"42.971854, -78.875512","24,692"
11040,"40.744765, -73.680072","39,157"
11553,"40.702638, -73.591283","23,452"
11565,"40.675062, -73.671934","9,140"
14211,"42.907697, -78.821679","29,590"
14212,"42.894746, -78.820451","15,364"
14605,"43.168307, -77.601608","14,418"
10471,"40.898117, -73.900227","23,413"
11756,"40.724567, -73.516333","43,952"
10601,"41.029566, -73.759207","8,991"
11363,"40.772591, -73.746472","6,917"
11021,"40.786114, -73.728183","19,623"
10708,"40.937467, -73.833144","22,411"
11510,"40.653614, -73.609056","32,346"
11570,"40.665341, -73.638921","27,827"
11518,"40.638346, -73.666295","11,202"
12206,"42.673376, -73.781497","16,291"
10474,"40.810203, -73.884437","11,354"
14608,"43.154821, -77.623507","12,362"
10707,"40.959962, -73.822722","9,447"
11581,"40.652229, -73.714706","20,094"
14220,"42.844910, -78.822083","26,550"
11726,"40.678789, -73.395729","17,737"
11516,"40.627479, -73.727879","7,068"
14209,"42.916573, -78.865781","8,547"
11710,"40.675775, -73.535668","34,463"
11507,"40.770879, -73.652364","7,755"
10306,"40.569755, -74.122141","55,698"
10307,"40.506815, -74.241709","11,669"
11762,"40.682635, -73.445756","24,471"
10312,"40.547291, -74.179264","58,867"
14214,"42.939793, -78.841077","21,860"
11596,"40.760589, -73.640783","10,572"
14223,"42.973496, -78.846382","24,094"
11757,"40.689587, -73.373856","46,458"
11590,"40.756284, -73.570247","42,507"
10314,"40.598825, -74.163336","84,821"
14611,"43.147187, -77.646472","19,774"
11598,"40.631555, -73.711280","13,226"
10573,"41.018087, -73.679179","36,300"
12308,"42.820980, -73.919670","13,346"
14620,"43.127295, -77.610027","28,094"
14609,"43.177093, -77.554873","43,665"
14204,"42.883587, -78.861199","10,040"
10709,"40.952626, -73.809927","9,093"
11554,"40.720115, -73.558861","37,458"
13210,"43.031420, -76.125816","27,352"
11801,"40.762304, -73.524452","39,449"
14207,"42.952131, -78.898018","22,986"
11572,"40.630521, -73.637745","31,241"
11552,"40.692979, -73.652416","23,309"
11096,"40.621346, -73.756990","7,975"
14301,"43.097462, -79.031824","14,257"
13205,"43.004501, -76.141720","20,592"
12209,"42.638363, -73.787960","9,772"
13208,"43.078289, -76.145325","21,440"
10303,"40.629885, -74.174130","23,530"
11701,"40.686412, -73.412398","26,379"
11783,"40.673140, -73.491849","22,162"
14202,"42.881855, -78.877198","4,136"
13202,"43.043592, -76.150628","5,434"
10803,"40.899532, -73.805883","12,124"
11703,"40.732670, -73.325925","16,336"
14210,"42.864041, -78.832957","16,681"
10566,"41.287672, -73.917786","22,441"
11704,"40.717504, -73.358203","40,114"
10710,"40.967157, -73.846339","25,202"
11514,"40.749920, -73.614017","5,214"
14616,"43.234256, -77.653267","27,119"
10538,"40.937865, -73.755930","16,780"
11422,"40.632030, -73.766051","30,449"
14604,"43.157078, -77.604677","1,683"
11717,"40.783955, -73.252256","51,485"
11795,"40.708202, -73.303076","27,127"
10927,"41.191052, -73.967562","10,117"
11709,"40.908648, -73.560926","7,135"
11023,"40.799784, -73.733445","8,501"
11803,"40.781700, -73.473035","27,767"
13207,"43.012868, -76.163401","14,890"
11579,"40.844004, -73.644012","5,141"
12202,"42.634583, -73.763986","10,021"
11784,"40.869063, -73.040402","26,411"
12305,"42.815918, -73.944331","5,922"
12208,"42.652519, -73.807897","21,307"
10543,"40.953743, -73.736180","19,427"
11729,"40.762698, -73.321445","28,280"
11693,"40.611082, -73.822757","11,157"
10522,"41.010310, -73.863746","10,622"
14206,"42.880078, -78.810472","22,988"
10993,"41.209896, -73.973842","4,263"
13204,"43.051756, -76.178000","20,826"
10968,"41.036334, -73.921633","2,424"
11758,"40.662298, -73.458413","54,933"
11566,"40.651637, -73.551927","35,606"
11789,"40.957123, -72.971270","7,660"
10977,"41.118920, -74.048158","49,211"
11722,"40.785083, -73.192931","34,491"
10530,"41.023712, -73.812810","12,453"
14226,"42.971014, -78.796455","29,382"
11577,"40.784638, -73.640578","12,176"
11558,"40.611322, -73.662331","8,553"
13501,"43.081159, -75.225020","36,076"
11714,"40.743967, -73.479983","23,012"
13206,"43.074194, -76.105762","16,562"
14614,"43.157055, -77.615197",926
10309,"40.530847, -74.221178","27,207"
11542,"40.869660, -73.628113","27,693"
10923,"41.203213, -74.002535","9,273"
11741,"40.794354, -73.069968","27,857"
11751,"40.733051, -73.212519","15,083"
10503,"41.025560, -73.874987",115
14445,"43.113720, -77.489532","8,179"
12801,"43.312294, -73.645255","14,374"
11548,"40.814616, -73.622003","2,514"
11798,"40.751870, -73.371077","15,199"
10605,"41.007018, -73.744338","17,414"
11950,"40.809045, -72.847221","14,583"
11731,"40.862927, -73.316829","31,250"
10952,"41.116210, -74.078881","31,947"
11755,"40.858961, -73.120478","11,402"
11706,"40.720471, -73.259399","60,460"
10960,"41.092282, -73.925728","14,687"
11718,"40.723177, -73.268488","3,061"
10603,"41.057813, -73.777196","16,389"
14610,"43.143492, -77.545899","14,534"
11720,"40.869907, -73.081937","28,105"
11509,"40.587962, -73.729710","2,861"
14043,"42.900438, -78.701764","26,537"
14802,"42.254333, -77.789646","3,954"
13219,"43.041266, -76.224195","15,700"
11530,"40.728551, -73.631351","26,482"
11767,"40.847754, -73.145703","13,841"
10528,"40.974752, -73.725777","12,312"
10804,"40.946841, -73.788051","14,131"
11738,"40.837386, -73.037968","16,811"
10532,"41.100192, -73.798695","5,582"
10502,"41.014059, -73.839744","4,935"
11793,"40.650294, -73.514561","32,753"
10954,"41.099029, -74.012296","23,189"
10583,"40.988682, -73.789204","39,091"
11557,"40.635065, -73.691343","7,966"
11776,"40.913812, -73.046148","22,440"
11772,"40.771471, -72.995182","41,913"
14606,"43.170996, -77.697914","29,187"
11725,"40.840996, -73.280948","29,412"
14150,"42.997524, -78.878511","44,535"
12183,"42.746893, -73.693861","2,278"
11735,"40.734243, -73.428600","32,159"
12203,"42.678763, -73.845869","32,866"
11796,"40.729245, -73.099841","3,835"
11050,"40.839895, -73.693128","28,545"
11753,"40.788668, -73.541676","11,648"
14225,"42.928824, -78.752459","35,893"
11779,"40.812431, -73.116108","39,321"
14617,"43.224205, -77.594485","22,967"
11804,"40.766708, -73.451812","5,014"
10965,"41.061482, -74.015910","14,522"
11790,"40.903592, -73.131054","18,374"
12304,"42.771569, -73.895695","20,969"
13088,"43.108742, -76.186383","22,139"
14227,"42.886935, -78.730383","24,573"
11732,"40.852904, -73.537599","3,804"
11754,"40.886865, -73.245725","18,847"
11715,"40.749738, -73.034888","4,407"
11752,"40.755849, -73.173780","9,881"
13224,"43.031797, -76.100655","9,052"
10983,"41.031088, -73.947703","5,756"
11746,"40.814268, -73.362276","62,828"
11727,"40.880224, -73.002112","25,603"
14615,"43.204250, -77.657326","16,158"
11951,"40.767062, -72.838578","12,794"
14904,"42.069428, -76.805553","16,862"
10607,"41.039089, -73.811368","7,493"
11030,"40.793409, -73.688549","17,148"
14068,"43.026309, -78.758472","10,027"
13214,"43.040542, -76.076911","8,764"
11721,"40.892021, -73.370810","6,218"
13116,"43.074754, -76.007939","3,351"
11576,"40.803242, -73.637480","11,810"
14218,"42.817887, -78.824667","20,203"
11740,"40.865796, -73.363314","9,647"
10706,"40.990222, -73.865543","9,187"
14305,"43.122642, -79.023024","20,319"
14622,"43.215549, -77.556449","12,027"
10562,"41.192300, -73.833984","31,035"
11742,"40.809944, -73.040545","12,119"
13417,"43.101278, -75.293446","3,180"
12189,"42.733036, -73.718976","16,783"
14303,"43.084094, -79.031636","7,128"
10591,"41.090097, -73.841014","21,590"
12207,"42.658332, -73.746412","2,187"
11787,"40.852924, -73.211260","34,794"
14905,"42.087725, -76.843282","9,407"
11705,"40.743277, -73.055841","8,007"
14221,"42.984522, -78.722871","51,448"
11024,"40.816373, -73.743736","7,564"
14618,"43.112890, -77.557574","22,387"
11769,"40.736277, -73.129837","9,729"
12601,"41.708174, -73.910203","43,130"
10996,"41.393700, -73.972175","7,126"
10004,"40.691870, -74.014109","1,225"
11020,"40.770007, -73.712974","4,043"
11791,"40.829724, -73.498525","24,445"
11777,"40.949875, -73.061723","9,025"
13212,"43.127007, -76.129705","20,878"
12047,"42.782255, -73.727721","18,167"
10604,"41.052798, -73.736957","10,430"
10956,"41.156331, -73.994110","31,071"
13090,"43.152537, -76.217092","30,934"
11697,"40.555681, -73.920688","4,226"
14626,"43.216516, -77.710843","29,120"
14224,"42.837826, -78.747935","40,509"
10523,"41.061817, -73.819281","7,489"
11559,"40.605480, -73.716208","8,103"
10580,"40.978942, -73.693320","16,737"
10594,"41.110366, -73.767887","5,460"
14219,"42.789589, -78.825966","13,050"
10533,"41.039478, -73.850709","7,464"
14612,"43.266330, -77.676706","35,665"
10989,"41.122955, -73.938031","9,381"
12205,"42.714984, -73.824289","26,337"
11730,"40.720680, -73.172384","16,050"
11967,"40.805671, -72.879071","24,943"
11788,"40.817677, -73.210123","16,836"
11797,"40.820348, -73.472077","9,005"
10570,"41.127957, -73.790628","12,366"
11763,"40.823551, -72.980284","24,743"
10984,"41.202903, -74.022265","2,298"
12130,"42.442570, -73.658564",899
11713,"40.773594, -72.945434","9,160"
12303,"42.753534, -73.926481","27,942"
10976,"41.021423, -73.922172","1,795"
12466,"41.905034, -73.985610","3,101"
14514,"43.122159, -77.810679","4,722"
12543,"41.485123, -74.220417","3,133"
11733,"40.934181, -73.105889","20,382"
12204,"42.691525, -73.733797","6,792"
12309,"42.790136, -73.862338","30,057"
10048,"40.711665, -74.012417",55
12211,"42.705608, -73.766085","10,684"
10511,"41.261063, -73.948349","2,189"
11743,"40.878517, -73.426767","41,566"
11766,"40.935097, -73.015864","9,365"
11547,"40.830929, -73.643958",666
13495,"43.114019, -75.271854","2,271"
12550,"41.539574, -74.057223","52,084"
10920,"41.153040, -73.938131","8,937"
11782,"40.753968, -73.099453","15,897"
11934,"40.798359, -72.794297","6,539"
13603,"44.035347, -75.804288","7,498"
11778,"40.939095, -72.928456","11,514"
11768,"40.910132, -73.324377","21,676"
12110,"42.750910, -73.775205","20,463"
14623,"43.087333, -77.641867","27,387"
10548,"41.247875, -73.941802","4,076"
14625,"43.150039, -77.505521","10,792"
10464,"40.867099, -73.797609","4,634"
10165,"40.752131, -73.978722",7
10547,"41.308707, -73.855615","8,544"
11702,"40.618005, -73.407877","14,975"
14304,"43.100698, -78.948314","30,960"
10595,"41.087709, -73.785778","7,482"
13211,"43.104491, -76.116553","6,425"
14120,"43.079317, -78.842654","43,144"
14624,"43.128271, -77.731354","38,231"
11780,"40.890431, -73.171453","14,920"
12508,"41.495996, -73.953632","19,487"
10925,"41.222743, -74.292681","4,986"
14450,"43.088447, -77.415761","40,748"
10994,"41.098072, -73.972649","6,493"
11747,"40.788528, -73.407298","16,152"
11953,"40.893285, -72.951799","12,364"
14051,"43.039886, -78.704186","17,991"
10913,"41.068258, -73.954975","5,076"
12603,"41.675868, -73.864484","41,667"
11716,"40.776697, -73.134857","10,360"
12182,"42.801006, -73.637646","14,104"
12803,"43.285467, -73.636150","7,394"
11764,"40.934197, -72.975160","11,120"
12084,"42.704563, -73.899429","4,214"
14228,"43.044371, -78.777335","19,713"
12045,"42.478837, -73.797553",746
10598,"41.286807, -73.798823","29,368"
14526,"43.151464, -77.444396","19,789"
11786,"40.944455, -72.886049","5,883"
12065,"42.854836, -73.787492","38,866"
13905,"42.173847, -75.936413","27,506"
13615,"44.007217, -75.979240","1,027"
12144,"42.627836, -73.717842","18,367"
14075,"42.713252, -78.833315","42,082"
10950,"41.317294, -74.197530","38,791"
10588,"41.316837, -73.829264","2,006"
14580,"43.217283, -77.444534","43,824"
10541,"41.377000, -73.753830","26,693"
14504,"42.967777, -77.233608","1,312"
11955,"40.809125, -72.816096","2,652"
14534,"43.056890, -77.521042","30,270"
13209,"43.087539, -76.255166","13,774"
10537,"41.355369, -73.879979","2,032"
11724,"40.856500, -73.452894","3,040"
14467,"43.043504, -77.618013","8,738"
12590,"41.592556, -73.886853","33,523"
13039,"43.161395, -76.075729","14,562"
12471,"41.848432, -74.036220",174
10589,"41.328630, -73.697168","7,363"
12054,"42.608547, -73.864416","16,421"
10514,"41.172330, -73.768948","12,004"
10510,"41.138997, -73.834891","9,963"
13760,"42.133387, -76.084713","43,954"
11970,"40.940660, -72.573108",319
11042,"40.758295, -73.697102",513
13461,"43.077098, -75.587609","3,179"
10520,"41.217976, -73.874882","12,590"
14085,"42.716594, -78.930821","5,565"
11771,"40.865967, -73.525877","9,550"
12180,"42.748588, -73.599536","52,907"
14134,"42.534609, -78.521861",16
10535,"41.335169, -73.793919",416
12411,"41.878105, -74.038886",382
12449,"41.997728, -73.992872","3,557"
11560,"40.880757, -73.588724","6,815"
11946,"40.881714, -72.536582","12,802"
